cod_dpto,dpto_nombre,cod_mun,mun_nombre,ano,mes,total_hurto
05,ANTIOQUIA,05021,ALEJANDRIA,2003,3,2
05,ANTIOQUIA,05021,ALEJANDRIA,2003,6,1
05,ANTIOQUIA,05021,ALEJANDRIA,2003,7,1
05,ANTIOQUIA,05021,ALEJANDRIA,2003,10,1
05,ANTIOQUIA,05021,ALEJANDRIA,2004,1,1
05,ANTIOQUIA,05021,ALEJANDRIA,2004,2,2
05,ANTIOQUIA,05021,ALEJANDRIA,2004,3,2
05,ANTIOQUIA,05021,ALEJANDRIA,2004,4,2
05,ANTIOQUIA,05021,ALEJANDRIA,2004,8,1
05,ANTIOQUIA,05021,ALEJANDRIA,2004,10,2
05,ANTIOQUIA,05021,ALEJANDRIA,2005,1,2
05,ANTIOQUIA,05021,ALEJANDRIA,2005,5,2
05,ANTIOQUIA,05021,ALEJANDRIA,2011,10,1
05,ANTIOQUIA,05021,ALEJANDRIA,2015,4,2
05,ANTIOQUIA,05021,ALEJANDRIA,2015,5,1
05,ANTIOQUIA,05021,ALEJANDRIA,2015,6,2
05,ANTIOQUIA,05021,ALEJANDRIA,2015,8,1
05,ANTIOQUIA,05021,ALEJANDRIA,2015,9,1
05,ANTIOQUIA,05021,ALEJANDRIA,2015,11,2
05,ANTIOQUIA,05021,ALEJANDRIA,2016,3,1
05,ANTIOQUIA,05021,ALEJANDRIA,2016,8,2
05,ANTIOQUIA,05021,ALEJANDRIA,2016,12,2
05,ANTIOQUIA,05021,ALEJANDRIA,2017,3,1
05,ANTIOQUIA,05021,ALEJANDRIA,2017,12,1
05,ANTIOQUIA,05021,ALEJANDRIA,2018,1,2
05,ANTIOQUIA,05021,ALEJANDRIA,2018,3,1
05,ANTIOQUIA,05021,ALEJANDRIA,2018,6,1
05,ANTIOQUIA,05021,ALEJANDRIA,2018,11,1
05,ANTIOQUIA,05021,ALEJANDRIA,2019,4,1
05,ANTIOQUIA,05021,ALEJANDRIA,2020,12,1
05,ANTIOQUIA,05021,ALEJANDRIA,2021,1,1
05,ANTIOQUIA,05021,ALEJANDRIA,2021,9,1
05,ANTIOQUIA,05021,ALEJANDRIA,2021,10,1
05,ANTIOQUIA,05021,ALEJANDRIA,2022,4,1
05,ANTIOQUIA,05021,ALEJANDRIA,2022,12,1
