COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,AÑO,CANTIDAD_EXTORSION,PROMEDIO_EXTORSION,CANTIDAD_SUBVERSIVAS,PROMEDIO_SUBVERSIVAS,COD_DPTO,COD_DPTO-MPIO,Total,COBERTURA 2G,COBERTURA 3G,COBERTUTA 4G
25,CUNDINAMARCA,25645,SAN ANTONIO DEL TEQUENDAMA,2020,1.0,1.0,0.0,0.0,25,25645,12663,1.0,1.0,0.0
25,CUNDINAMARCA,25645,SAN ANTONIO DEL TEQUENDAMA,2022,4.0,1.0,0.0,0.0,25,25645,13394,1.0,1.0,1.0
25,CUNDINAMARCA,25645,SAN ANTONIO DEL TEQUENDAMA,2023,1.0,1.0,0.0,0.0,25,25645,13831,1.0,1.0,1.0
25,CUNDINAMARCA,25645,SAN ANTONIO DEL TEQUENDAMA,2024,5.0,1.0,0.0,0.0,25,25645,14259,0.0,0.0,0.0
25,CUNDINAMARCA,25649,SAN BERNARDO,2020,1.0,1.0,0.0,0.0,25,25649,8964,1.0,1.0,0.0
25,CUNDINAMARCA,25649,SAN BERNARDO,2021,2.0,1.0,0.0,0.0,25,25649,9101,1.0,1.0,1.0
25,CUNDINAMARCA,25653,SAN CAYETANO,2020,2.0,1.0,0.0,0.0,25,25653,5111,1.0,1.0,0.0
25,CUNDINAMARCA,25653,SAN CAYETANO,2022,3.0,1.0,0.0,0.0,25,25653,5368,1.0,1.0,1.0
25,CUNDINAMARCA,25658,SAN FRANCISCO,2019,1.0,1.0,0.0,0.0,25,25658,11227,1.0,1.0,0.0
25,CUNDINAMARCA,25658,SAN FRANCISCO,2021,3.0,1.0,0.0,0.0,25,25658,11886,1.0,1.0,1.0
25,CUNDINAMARCA,25658,SAN FRANCISCO,2022,3.0,1.0,0.0,0.0,25,25658,12278,1.0,1.0,1.0
25,CUNDINAMARCA,25658,SAN FRANCISCO,2023,1.0,1.0,0.0,0.0,25,25658,12685,1.0,1.0,1.0
25,CUNDINAMARCA,25658,SAN FRANCISCO,2024,2.0,1.0,0.0,0.0,25,25658,13083,0.0,0.0,0.0
25,CUNDINAMARCA,25662,SAN JUAN DE RIO SECO,2018,2.0,1.0,0.0,0.0,25,25662,8181,1.0,1.0,0.0
25,CUNDINAMARCA,25662,SAN JUAN DE RIO SECO,2019,1.0,1.0,0.0,0.0,25,25662,8435,1.0,1.0,0.0
25,CUNDINAMARCA,25662,SAN JUAN DE RIO SECO,2022,1.0,1.0,0.0,0.0,25,25662,9074,1.0,1.0,1.0
