COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,AÑO,CANTIDAD_EXTORSION,CANTIDAD_SUBVERSIVAS,COD_DPTO,Total,COBERTURA 2G,COBERTURA 3G,COBERTUTA 4G
50,META,50001,VILLAVICENCIO,2015.0,236.0,8.0,0.0,0.0,0.0,0.0,0.0
50,META,50001,VILLAVICENCIO,2016.0,150.0,7.0,0.0,0.0,0.0,0.0,0.0
50,META,50001,VILLAVICENCIO,2017.0,165.0,3.0,0.0,0.0,0.0,0.0,0.0
50,META,50001,VILLAVICENCIO,2018.0,216.0,2.0,50.0,531275.0,1.0,1.0,0.0
50,META,50001,VILLAVICENCIO,2019.0,197.0,2.0,50.0,542798.0,1.0,1.0,0.0
50,META,50001,VILLAVICENCIO,2020.0,165.0,0.0,50.0,553409.0,1.0,1.0,0.0
50,META,50001,VILLAVICENCIO,2021.0,177.0,0.0,50.0,561834.0,1.0,1.0,1.0
50,META,50001,VILLAVICENCIO,2022.0,247.0,5.0,50.0,569806.0,1.0,1.0,1.0
50,META,50001,VILLAVICENCIO,2023.0,244.0,2.0,50.0,577875.0,1.0,1.0,1.0
50,META,50001,VILLAVICENCIO,2024.0,401.0,0.0,50.0,585858.0,0.0,0.0,0.0
50,META,50006,ACACIAS,1998.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50006,ACACIAS,1999.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50006,ACACIAS,2000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50006,ACACIAS,2001.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50006,ACACIAS,2002.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50006,ACACIAS,2003.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50006,ACACIAS,2004.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50006,ACACIAS,2005.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50006,ACACIAS,2006.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50006,ACACIAS,2008.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50006,ACACIAS,2009.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50006,ACACIAS,2011.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0
50,META,50006,ACACIAS,2012.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50006,ACACIAS,2013.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50006,ACACIAS,2014.0,48.0,3.0,0.0,0.0,0.0,0.0,0.0
50,META,50006,ACACIAS,2015.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50006,ACACIAS,2016.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50006,ACACIAS,2017.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50006,ACACIAS,2018.0,33.0,0.0,50.0,88023.0,1.0,1.0,0.0
50,META,50006,ACACIAS,2019.0,34.0,0.0,50.0,89915.0,1.0,1.0,0.0
50,META,50006,ACACIAS,2020.0,25.0,0.0,50.0,91562.0,1.0,1.0,0.0
50,META,50006,ACACIAS,2021.0,26.0,2.0,50.0,92906.0,1.0,1.0,1.0
50,META,50006,ACACIAS,2022.0,37.0,0.0,50.0,94160.0,1.0,1.0,1.0
50,META,50006,ACACIAS,2023.0,44.0,0.0,50.0,95500.0,1.0,1.0,1.0
50,META,50006,ACACIAS,2024.0,66.0,0.0,50.0,96750.0,0.0,0.0,0.0
50,META,50110,BARRANCA DE UPIA,1998.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50110,BARRANCA DE UPIA,2006.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50110,BARRANCA DE UPIA,2010.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50110,BARRANCA DE UPIA,2011.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
50,META,50110,BARRANCA DE UPIA,2012.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50110,BARRANCA DE UPIA,2013.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50110,BARRANCA DE UPIA,2014.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50110,BARRANCA DE UPIA,2015.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50110,BARRANCA DE UPIA,2016.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50110,BARRANCA DE UPIA,2019.0,3.0,0.0,50.0,6595.0,1.0,1.0,0.0
50,META,50110,BARRANCA DE UPIA,2020.0,2.0,0.0,50.0,6762.0,1.0,1.0,0.0
50,META,50110,BARRANCA DE UPIA,2021.0,4.0,0.0,50.0,6869.0,1.0,1.0,1.0
50,META,50110,BARRANCA DE UPIA,2023.0,1.0,0.0,50.0,7079.0,1.0,1.0,1.0
50,META,50110,BARRANCA DE UPIA,2024.0,2.0,0.0,50.0,7181.0,0.0,0.0,0.0
50,META,50124,CABUYARO,1999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50124,CABUYARO,2013.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50124,CABUYARO,2015.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
