ano,actividad,sector,tipo_de_precios,cod_dpto,dpto_nombre,valor_agregado
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,54,Norte de Santander,1610.09
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,86,Putumayo,270.53
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,63,Quindío,928.44
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,66,Risaralda,1672.32
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",473.48
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,68,Santander,4256.57
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,70,Sucre,747.11
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,73,Tolima,2046.63
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,76,Valle del Cauca,8824.2
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,97,Vaupés,28.26
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,99,Vichada,38.42
2005,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,91,Amazonas,2.23
2005,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,05,Antioquia,1780.47
2005,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,81,Arauca,15.83
2005,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,08,Atlántico,511.36
2005,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,11,Bogotá D.C.,5364.46
2005,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,13,Bolívar,293.86
2005,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,15,Boyacá,198.05
2005,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,17,Caldas,281.67
2005,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,18,Caquetá,30.86
2005,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,85,Casanare,40.06
2005,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,19,Cauca,83.27
2005,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,20,Cesar,105.58
2005,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,27,Chocó,14.93
2005,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,23,Córdoba,202.3
2005,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,25,Cundinamarca,573.77
2005,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,94,Guainía,0.22
2005,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,95,Guaviare,3.09
2005,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,41,Huila,160.6
2005,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,44,La Guajira,25.05
2005,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,47,Magdalena,123.9
2005,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,50,Meta,139.2
2005,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,52,Nariño,117.43
