cod_dpto,dpto_nombre,cod_mun,mun_nombre,ano,mes,total_victimas,total_civiles,total_combatientes,lesionados_civiles,abandono_despojo,amenaza_intimidacion,ataque_mision_medica,confinamiento,desplazamiento_forzado,extorsion_asociada,pillaje,tortura
19,CAUCA,19050,ARGELIA,2022,5,0,0,0,1,0,0,0,0,0,0,0,0
19,CAUCA,19142,CALOTO,2022,5,0,0,0,1,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",2022,3,0,0,0,1,0,0,0,0,0,0,0,0
19,CAUCA,19355,INZA,2022,2,0,0,0,7,0,0,0,0,0,0,0,0
54,NORTE DE SANTANDER,54261,EL ZULIA,2022,2,0,0,0,0,0,0,0,0,0,0,0,0
50,META,50313,GRANADA,2022,2,1,0,1,4,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",2022,3,2,2,0,39,0,0,0,0,0,0,0,0
20,CESAR,20383,LA GLORIA,2022,7,0,0,0,2,0,0,0,0,0,0,0,0
54,NORTE DE SANTANDER,54810,TIBU,2022,7,0,0,0,6,0,0,0,0,0,0,0,0
19,CAUCA,19532,PATIA,2022,7,1,1,0,7,0,0,0,0,0,0,0,0
25,CUNDINAMARCA,25658,SAN FRANCISCO,1948,3,0,0,0,5,0,0,0,0,0,0,0,0
68,SANTANDER,68001,BUCARAMANGA,1944,8,3,0,3,26,0,0,0,0,0,0,0,0
